fold,accuracy,accuracy_percent
1,0.9866666666666667,98.66666666666667
2,0.9866666666666667,98.66666666666667
3,0.9866666666666667,98.66666666666667
4,0.9883333333333333,98.83333333333333
5,0.995,99.5
6,0.995,99.5
7,0.995,99.5
8,0.995,99.5
9,0.9933333333333333,99.33333333333333
10,0.9866666666666667,98.66666666666667
